r,X_r,Conn_r,euler_rips_r
16.08,272.24603174603175,2,31683
16.11,273.94444444444446,2,31889
16.13,274.93650793650795,2,32010
16.15,275.42063492063494,2,32069
16.16,276.77777777777777,2,32233
16.2,279.27777777777777,2,32538
16.23,280.8968253968254,2,32735
16.27,281.6190476190476,2,32823
16.28,282.04761904761904,2,32875
16.29,283.3333333333333,2,33032
16.33,285.0238095238095,2,33238
16.35,286.76984126984127,2,33452
16.38,289.22222222222223,2,33750
16.41,289.6984126984127,2,33808
16.5,291.07936507936506,2,33976
16.51,292.468253968254,2,34145
16.54,293.515873015873,2,34272
16.56,293.73809523809524,2,34299
16.57,295.03968253968253,2,34457
16.63,295.74603174603175,2,34543
16.66,295.96031746031747,2,34569
16.69,296.1587301587302,2,34593
16.72,296.25396825396825,2,34604
16.77,296.8492063492063,2,34675
16.78,305.1190476190476,2,35678
16.81,306.43650793650795,2,35837
16.87,306.984126984127,2,35904
16.92,308.08730158730157,2,36039
16.98,309.46031746031747,2,36206
16.99,309.8095238095238,2,36247
17.0,310.6190476190476,2,36345
17.01,311.42063492063494,2,36443
17.07,311.54761904761904,2,36458
17.09,312.35714285714283,2,36556
17.19,312.9920634920635,2,36632
17.21,313.8809523809524,2,36740
17.22,314.07142857142856,2,36763
17.25,315.36507936507934,2,36920
17.27,317.3492063492063,2,37162
17.33,318.37301587301585,2,37286
17.36,319.1666666666667,2,37383
17.42,320.7142857142857,2,37571
17.47,322.0,2,37729
17.5,325.8888888888889,2,38200
17.51,326.14285714285717,2,38231
17.53,326.58730158730157,2,38285
17.56,328.531746031746,2,38520
17.57,330.0952380952381,2,38710
17.62,332.1031746031746,2,38955
17.68,350.1507936507937,2,41145
17.7,350.86507936507934,2,41232
17.74,352.0,2,41370
17.76,353.04761904761904,2,41498
17.81,353.72222222222223,2,41580
17.85,354.8809523809524,2,41722
17.89,355.07142857142856,2,41745
17.93,355.6507936507937,2,41815
17.96,356.5,2,41918
18.0,357.03968253968253,2,41984
18.01,357.3015873015873,2,42016
18.03,368.14285714285717,2,43333
18.04,368.63492063492066,2,43393
18.07,369.9920634920635,2,43558
18.12,373.8015873015873,2,44022
18.13,374.3968253968254,2,44095
18.18,374.8968253968254,2,44155
18.21,384.27777777777777,2,45300
18.31,384.53968253968253,2,45332
18.35,385.015873015873,2,45390
18.36,386.5079365079365,2,45573
18.4,386.7857142857143,2,45606
18.44,387.1666666666667,2,45652
18.45,387.42857142857144,2,45684
18.5,388.55555555555554,2,45820
18.51,388.8492063492063,2,45856
18.53,390.06349206349205,2,46004
18.57,390.8015873015873,2,46094
18.59,391.3253968253968,2,46158
18.61,392.2936507936508,2,46276
18.67,395.015873015873,2,46609
18.69,396.06349206349205,2,46737
18.73,396.3333333333333,2,46770
18.75,397.2857142857143,2,46887
18.77,397.35714285714283,2,46894
18.8,400.27777777777777,2,47250
18.83,401.484126984127,2,47397
18.85,402.06349206349205,2,47468
18.87,403.07936507936506,2,47592
18.91,404.6984126984127,2,47789
